,Year,Month,temp,temp_min,temp_max,pressure,humidity,wind_speed,Precip
0,2000,Ene,3.99,-1.77,9.76,956.07,,1.31,0.78
1,2000,Feb,8.98,1.02,16.92,959.78,,1.62,0.0
2,2000,Mar,10.98,3.95,18.02,953.67,,2.34,1.03
3,2000,Abr,10.13,5.62,14.65,942.95,,4.67,2.51
4,2000,May,16.16,9.8,22.51,948.54,,1.52,1.57
5,2000,Jun,22.04,13.34,30.75,951.93,,2.61,0.47
6,2000,Jul,23.46,15.45,31.47,948.01,,3.58,0.39
7,2000,Ago,24.15,15.69,32.65,950.79,,2.97,0.0
8,2000,Sep,20.58,12.14,29.02,949.34,,2.76,0.37
9,2000,Oct,14.58,7.89,21.29,950.4,,2.85,0.46
10,2000,Nov,8.48,3.78,13.2,948.02,,3.64,2.13
11,2000,Dic,6.98,3.41,10.55,948.31,,2.73,3.63
12,2001,Ene,3.99,-1.77,9.76,956.07,,1.31,0.78
13,2001,Feb,8.98,1.02,16.92,959.78,,1.62,0.0
14,2001,Mar,10.98,3.95,18.02,953.67,,2.34,1.03
15,2001,Abr,10.13,5.62,14.65,942.95,,4.67,2.51
16,2001,May,16.16,9.8,22.51,948.54,,1.52,1.57
17,2001,Jun,22.04,13.34,30.75,951.93,,2.61,0.47
18,2001,Jul,23.46,15.45,31.47,948.01,,3.58,0.39
19,2001,Ago,24.15,15.69,32.65,950.79,,2.97,0.0
20,2001,Sep,20.58,12.14,29.02,949.34,,2.76,0.37
21,2001,Oct,14.58,7.89,21.29,950.4,,2.85,0.46
22,2001,Nov,8.48,3.78,13.2,948.02,,3.64,2.13
23,2001,Dic,6.98,3.41,10.55,948.31,,2.73,3.63
24,2002,Ene,3.99,-1.77,9.76,956.07,,1.31,0.78
25,2002,Feb,8.98,1.02,16.92,959.78,,1.62,0.0
26,2002,Mar,10.98,3.95,18.02,953.67,,2.34,1.03
27,2002,Abr,10.13,5.62,14.65,942.95,,4.67,2.51
28,2002,May,16.16,9.8,22.51,948.54,,1.52,1.57
29,2002,Jun,22.04,13.34,30.75,951.93,,2.61,0.47
30,2002,Jul,23.46,15.45,31.47,948.01,,3.58,0.39
31,2002,Ago,24.15,15.69,32.65,950.79,,2.97,0.0
32,2002,Sep,20.58,12.14,29.02,949.34,,2.76,0.37
33,2002,Oct,14.58,7.89,21.29,950.4,,2.85,0.46
34,2002,Nov,8.48,3.78,13.2,948.02,,3.64,2.13
35,2002,Dic,6.98,3.41,10.55,948.31,,2.73,3.63
36,2003,Ene,3.99,-1.77,9.76,956.07,,1.31,0.78
37,2003,Feb,8.98,1.02,16.92,959.78,,1.62,0.0
38,2003,Mar,10.98,3.95,18.02,953.67,,2.34,1.03
39,2003,Abr,10.13,5.62,14.65,942.95,,4.67,2.51
40,2003,May,16.16,9.8,22.51,948.54,,1.52,1.57
41,2003,Jun,22.04,13.34,30.75,951.93,,2.61,0.47
42,2003,Jul,23.46,15.45,31.47,948.01,,3.58,0.39
43,2003,Ago,24.15,15.69,32.65,950.79,,2.97,0.0
44,2003,Sep,20.58,12.14,29.02,949.34,,2.76,0.37
45,2003,Oct,14.58,7.89,21.29,950.4,,2.85,0.46
46,2003,Nov,8.48,3.78,13.2,948.02,,3.64,2.13
47,2003,Dic,6.98,3.41,10.55,948.31,,2.73,3.63
48,2004,Ene,6.11,0.75,11.47,952.37,,2.87,0.14
49,2004,Feb,6.66,0.75,12.58,952.05,,2.03,2.54
50,2004,Mar,8.02,2.49,13.55,953.11,,2.86,1.96
51,2004,Abr,10.82,4.69,16.95,946.52,,3.16,1.24
52,2004,May,13.62,8.17,19.07,946.96,,3.04,3.06
